z	N3	N5	N10	N15	N20	N100
0	0	0	0	0	0	0
0.111111	0.377618	0.339044	0.302133	0.266541	0.246674	0.226151
0.222222	0.649171	0.603244	0.52944	0.464438	0.4294	0.393366
0.333333	0.833753	0.800863	0.67811	0.593346	0.549063	0.503709
0.444444	0.954093	0.913275	0.746524	0.65392	0.606721	0.558542
0.555556	1.03008	0.919511	0.735958	0.647739	0.603546	0.558542
0.666667	0.954137	0.815511	0.65034	0.577025	0.540674	0.503709
0.777778	0.724589	0.614117	0.495286	0.444206	0.418991	0.393366
0.888889	0.390747	0.33585	0.276798	0.251415	0.238885	0.226151
1	0	0	0	0	0	0
